,leiden
rpc-1,1
C42D4.18,0
skr-16,1
str-1,5
str-44,8
C42D4.3,2
C42D4.2,2
clec-179,5
str-249,6
C42D4.13,2
C42D4.1,5
R13A1.5,5
unc-8,2
R13A1.3,12
kcc-1,2
glb-23,2
R13A1.1,10
R13A1.10,4
D2024.5,0
cap-1,0
D2024.4,2
elo-3,1
gstk-2,2
afmd-1,3
col-114,3
D2024.1,4
D2024.10,9
C06E4.6,14
C06E4.3,5
glb-2,2
C06E4.2,2
C06E4.1,11
C06E4.8,12
F42C5.3,3
F42C5.4,5
F42C5.5,5
npr-27,5
F42C5.6,7
grl-4,3
rps-8,7
F42C5.9,0
ifo-1,2
sqst-2,3
ocr-4,7
Y40C5A.3,4
Y40C5A.4,2
T12B3.3,1
T12B3.2,4
T12B3.1,2
mob-3,0
pitr-1,0
egl-19,2
B0496.6,3
srtx-1,5
unc-82,0
B0496.11,9
valv-1,2
B0496.1,6
B0496.2,6
tes-1,1
F13B6.1,4
F13B6.2,9
F13B6.3,3
F55G1.7,3
plk-3,4
F55G1.6,4
F55G1.5,3
F55G1.9,1
rod-1,1
his-61,1
his-62,1
his-60,7
his-59,1
F55G1.1,2
egas-4,5
F55G1.15,9
glt-6,5
vdac-1,0
R05G6.5,7
plc-4,1
R05G6.4,1
R05G6.9,3
R05G6.3,3
R05G6.10,1
R05G6.1,2
pam-1,0
cdd-2,7
F49E8.2,4
dif-1,1
F49E8.6,2
F49E8.7,1
nprl-2,1
ima-3,0
F32E10.9,4
F32E10.8,2
clec-180,2
F32E10.5,1
cec-4,0
cec-5,0
nol-10,1
cla-1,0
F45E4.5,1
F45E4.6,4
plp-1,0
arf-1.1,2
nep-16,7
nlp-20,9
hmg-5,0
nrde-4,1
cima-1,2
C08G9.1,0
C08G9.2,2
itr-1,2
flp-13,5
F33D4.4,0
mrpl-1,0
emc-6,0
mrps-24,1
nhr-8,2
F33D4.6,2
C50F7.6,1
C50F7.5,8
sucg-1,1
C50F7.9,3
C50F7.3,10
npr-35,4
klo-1,4
C46A5.4,2
col-14,7
C46A5.5,3
C46A5.6,2
del-7,2
C46A5.1,3
rdl-1,2
hcf-1,0
swd-2.2,0
swd-2.1,1
C33H5.8,1
sec-10,1
tag-321,0
tag-322,1
imp-3,0
rsp-6,0
C33H5.13,0
ntp-1,1
sgo-1,0
C33H5.2,10
C33H5.1,6
zgpa-1,0
cdgs-1,0
ric-3,0
T14A8.2,3
C06A6.4,2
mvb-12,0
erp-44.2,0
C06A6.7,2
C06A6.2,0
flp-10,2
T06C10.3,3
kin-26,8
atic-1,2
ilys-4,7
arp-11,1
C49H3.6,0
C49H3.9,1
ntl-4,0
C49H3.4,1
xpo-3,1
C49H3.16,2
C49H3.3,0
rps-2,7
C49H3.12,3
gcy-8,7
bbs-2,7
F20D12.7,9
exc-9,0
czw-1,1
F20D12.12,4
F20D12.2,1
ceh-19,2
csr-1,3
F57H12.5,2
frpr-10,2
F57H12.6,3
ora-1,5
unc-24,0
arf-3,0
mec-17,5
col-115,4
rig-4,0
Y42H9B.3,4
C26B2.8,4
C26B2.7,0
elpc-4,0
dnc-4,1
C26B2.2,3
nhr-31,2
nhr-258,2
sax-7,0
nsy-7,0
Y42H9AR.2,4
Y42H9AR.5,2
rabs-5,1
Y42H9AR.4,0
Y42H9AR.1,1
irld-8,3
F42G8.8,4
erp-44.3,4
F42G8.19,7
F42G8.10,0
moc-3,1
sph-1,1
isp-1,0
islo-1,0
pmk-3,0
pmk-2,0
pmk-1,0
faah-2,4
B0218.5,5
faah-1,2
clec-51,3
clec-52,3
C07G1.15,3
pct-1,0
wsp-1,1
glrx-22,0
hgrs-1,1
svh-1,3
C07G1.6,3
C07G1.7,8
ocr-2,5
gpx-6,0
T09A12.5,1
nhr-66,0
T09A12.8,12
T09A12.1,3
vit-6,8
K07H8.8,3
K07H8.5,12
K07H8.11,6
K07H8.12,2
K07H8.9,4
K07H8.10,0
daf-31,0
K07H8.2,1
tbce-1,1
nprl-3,1
F35H10.6,1
F35H10.5,1
vha-5,2
F35H10.10,2
F35H10.3,3
F35H10.2,5
his-29,4
his-30,6
lys-10,6
his-31,0
his-32,0
his-33,6
his-34,4
lgc-6,1
lgc-5,1
F17E9.5,10
F17E9.16,8
F17E9.3,6
F17E9.2,6
col-116,10
D2096.13,6
D2096.5,4
sqv-1,1
D2096.12,4
aagr-1,3
D2096.6,2
D2096.7,1
nap-1,0
praf-3,0
D2096.9,7
D2096.10,3
D2096.11,3
timm-17B.2,4
sdz-25,6
M116.1,6
M116.5,3
tmem-231,7
T26A8.3,2
T26A8.4,0
T26A8.1,1
T01B11.1,5
T01B11.2,2
syx-4,3
ant-1.4,3
oat-1,5
C28C12.11,6
spp-10,7
hlh-12,6
spp-8,4
C28C12.4,5
sru-7,9
C28C12.12,4
acdh-13,1
mesp-1,6
C28C12.1,4
tag-77,1
mes-6,4
C09G4.4,0
cks-1,0
