,leiden
C42D4.2,3
clec-179,5
str-249,2
C42D4.13,3
C42D4.1,5
R13A1.5,5
unc-8,3
R13A1.3,14
kcc-1,1
glb-23,3
R13A1.1,9
R13A1.10,1
D2024.5,4
cap-1,4
D2024.4,3
elo-3,0
gstk-2,7
afmd-1,2
col-114,2
D2024.1,1
D2024.10,10
C06E4.6,13
C06E4.3,5
glb-2,3
C06E4.2,1
C06E4.1,11
C06E4.8,9
F42C5.3,12
F42C5.4,5
F42C5.5,5
npr-27,5
F42C5.6,8
grl-4,3
rps-8,7
F42C5.9,7
ifo-1,7
sqst-2,2
ocr-4,3
Y40C5A.3,3
Y40C5A.4,1
T12B3.3,0
T12B3.2,2
T12B3.1,3
mob-3,4
pitr-1,0
egl-19,8
B0496.6,2
srtx-1,5
unc-82,7
B0496.11,10
valv-1,3
B0496.1,9
B0496.2,9
tes-1,0
F13B6.1,1
F13B6.2,10
F13B6.3,2
F55G1.7,2
plk-3,2
F55G1.6,2
F55G1.5,2
F55G1.9,1
rod-1,0
his-61,0
his-62,0
his-60,4
his-59,0
F55G1.1,1
egas-4,5
F55G1.15,9
glt-6,5
vdac-1,7
R05G6.5,0
plc-4,0
R05G6.4,0
R05G6.9,2
R05G6.3,2
R05G6.10,1
R05G6.1,3
pam-1,0
cdd-2,1
F49E8.2,1
dif-1,0
F49E8.6,8
F49E8.7,0
nprl-2,0
ima-3,4
F32E10.9,1
F32E10.8,1
clec-180,3
F32E10.5,0
cec-4,4
cec-5,4
nol-10,0
cla-1,8
F45E4.5,0
F45E4.6,1
plp-1,4
arf-1.1,3
nep-16,8
nlp-20,10
hmg-5,0
nrde-4,0
cima-1,3
C08G9.1,7
C08G9.2,3
itr-1,3
flp-13,5
F33D4.4,7
mrpl-1,0
emc-6,0
mrps-24,0
nhr-8,1
F33D4.6,8
C50F7.6,1
C50F7.5,6
sucg-1,0
C50F7.9,2
C50F7.3,9
npr-35,3
klo-1,1
C46A5.4,3
col-14,8
C46A5.5,2
C46A5.6,3
del-7,3
C46A5.1,2
rdl-1,1
hcf-1,0
swd-2.2,4
swd-2.1,1
C33H5.8,0
sec-10,0
tag-321,0
tag-322,0
imp-3,0
rsp-6,4
C33H5.13,0
ntp-1,0
sgo-1,4
C33H5.2,2
C33H5.1,9
zgpa-1,0
cdgs-1,0
ric-3,7
T14A8.2,3
C06A6.4,1
mvb-12,0
erp-44.2,0
C06A6.7,3
C06A6.2,0
flp-10,1
T06C10.3,11
kin-26,6
atic-1,3
ilys-4,8
arp-11,1
C49H3.6,0
C49H3.9,0
ntl-4,0
C49H3.4,1
xpo-3,1
C49H3.16,8
C49H3.3,4
rps-2,7
C49H3.12,5
gcy-8,8
bbs-2,8
F20D12.7,10
exc-9,0
czw-1,1
F20D12.12,1
F20D12.2,0
ceh-19,3
csr-1,3
F57H12.5,3
frpr-10,3
F57H12.6,2
ora-1,5
unc-24,8
arf-3,4
mec-17,8
col-115,2
rig-4,0
Y42H9B.3,1
C26B2.8,3
C26B2.7,7
elpc-4,0
dnc-4,0
C26B2.2,2
nhr-31,1
nhr-258,3
sax-7,4
nsy-7,7
Y42H9AR.2,2
Y42H9AR.5,3
rabs-5,1
Y42H9AR.4,0
Y42H9AR.1,0
irld-8,3
F42G8.8,2
erp-44.3,1
F42G8.19,8
F42G8.10,7
moc-3,0
sph-1,0
isp-1,7
islo-1,7
pmk-3,0
pmk-2,4
pmk-1,4
faah-2,1
B0218.5,5
faah-1,3
clec-51,2
