"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark","Type","State"
"ceh-1",1,0.99806572163998,0,1.68546621954061,1,16819.5088782159,1,0.999899801037606,0,0.00168441643121061,0,0,0.00326016083460117,0,40.7591801974733,0.00129207827019362,0.878196205793099,0.00142382864837079,0.912565557976634,7.35524874340143e-09,1.61236772861257e-08,NA,"DEs","down"
"gpa-6",1,0.998044892207577,0,1.63972307723867,1,13399.1504871909,1,0.999877639821868,0,0.00163008041730059,0,0,0.00320582482069115,0,40.7585564410811,0.00124351726581129,0.872145522042592,0.00137154276766294,0.90750277293621,7.35748928448743e-09,1.61236772861257e-08,NA,"DEs","down"
"nhr-253",1,0.998044903263163,0,1.63972715668798,1,14383.9418868603,1,0.999886015928957,0,0.00163008041730059,0,0,0.00320582482069115,0,40.7585529982907,0.00124339776350801,0.872068126505188,0.00137154276766294,0.907498886607308,7.3575017189853e-09,1.61236772861257e-08,NA,"DEs","down"
"C12D5.10",1,0.998187428184772,0,1.82861349439319,1,14349.8864525883,1,0.999872585716343,0,0.00179308845903065,0,0,0.00331449684851119,0,39.3534224154332,0.0030539066625207,0.939272620647219,0.00332427373054029,0.967464149015445,1.46078773521907e-08,3.1709310655252e-08,NA,"DEs","down"
"F54E2.9",1,0.998217285662618,0,1.92020045144647,1,12206.5702753527,1,0.999842715980714,0,0.00190176048685068,0,0,0.00342316887633123,0,39.3532047391914,0.00232626300089145,0.894769127795368,0.00254096641288968,0.928221257531066,1.46094288888676e-08,3.1709310655252e-08,NA,"DEs","down"
"srz-29",1,0.998187425428874,0,1.82861256258934,1,11954.3769040472,1,0.999847057449786,0,0.00179308845903065,0,0,0.00331449684851119,0,39.3528370088845,0.00157129979337378,0.801926135119037,0.00172642588552261,0.836910629789626,1.46120502364511e-08,3.1709310655252e-08,NA,"DEs","down"
"sri-28",1,0.998133803603974,0,1.68872069522445,1,11228.0029843401,1,0.999849620030578,0,0.00163008041730059,0,0,0.00315148880678113,0,39.3513493834184,0.00119787063844468,0.932121290443025,0.00132238048975255,0.961867350553486,1.46226596386967e-08,3.17285121101722e-08,NA,"DEs","down"
"gur-3",1,0.998360885756265,0,2.25417439659823,1,11960.3213632246,1,0.999811564458715,0,0.0022277765703108,0,0,0.00369484894588133,0,37.9465063467763,0.0237262766609471,0.892187699381118,0.0251123478060883,0.925777179851375,2.90115006462699e-08,6.22536884946207e-08,NA,"DEs","down"
"F13E9.12",1,0.998181222909455,0,1.64312612489123,1,18014.3314970771,1,0.999908796156786,0,0.00152140838948055,0,0,0.00298848076505108,0,37.9464959284634,0.00107290256930259,0.797578699463578,0.00118644283760954,0.832444050948093,2.90116480838876e-08,6.22536884946207e-08,NA,"DEs","down"
"hmit-1.2",1,0.997430178999477,0,2.43154797730005,1,0.460403975587038,1,0.159201806630089,0,0.0047272332101717,0,0,0.00624864159965225,0,37.9464640648264,5.30303356782724e-10,0.999848983698838,6.75769275503016e-10,0.99997928026484,2.9012098612391e-08,6.22536884946207e-08,NA,"DEs","down"
