,leiden_cluster0,leiden_cluster1,leiden_cluster2,leiden_cluster3,leiden_cluster4,leiden_cluster5,leiden_cluster6,leiden_cluster7,leiden_cluster8,leiden_cluster9,leiden_cluster10,leiden_cluster11,leiden_cluster12,leiden_cluster13,leiden_cluster14,leiden_cluster15
ASI:510_650,0.3472459625471906,0.07680905199104733,0.08665225720047766,0.003473356081064556,0.006271914424922202,0.03342663907848458,0.0002926784240842824,0.4423426062931797,4.328775293274526e-05,0.00019556240154722509,4.134338577973779e-05,2.3332405836089645e-05,0.00032522099011882854,0.002780035688347418,5.382826960431208e-05,2.2923065382824914e-05
ASJ:330_390,0.39361915120095736,0.08670640247504169,0.01273947203728856,0.000772206184536556,0.008277497706592328,0.001874240503931069,0.00023667987502896278,0.4944990213337957,0.0,0.0,2.7934320014147967e-05,2.6004312449534114e-05,1.351005295229702e-05,0.0011956904759510393,1.2189521460719114e-05,0.0
ASJ:390_510,0.3779491047813013,0.08509577600084578,0.04836652853097896,0.002076946671685364,0.0061418280148410045,0.007908903559497738,0.00018734038725587145,0.4697722234559684,3.858199326729028e-05,7.807537220231179e-05,3.108837777705542e-05,4.830344038975712e-05,8.303736083773759e-06,0.0022743123012862786,1.3569519941776633e-05,9.113856677312663e-06
ASJ:510_650,0.3593106065186569,0.08621613052823225,0.09555920377884727,0.0033686216580673567,0.00680128671996592,0.04136098985321273,0.0002718263961334153,0.4031551709268319,8.634605883951921e-05,0.00013729432578511228,0.00017351056373438929,1.4425111725559488e-05,0.0001343274588344653,0.003386218248257401,0.0,2.404185287593248e-05
ASJ:gt_650,0.3088113656769809,0.08188740015806346,0.1181519192134802,0.006254179363762514,0.008376929022639559,0.13981707908571392,0.0007439862148475822,0.3261910036202365,0.0002821232129697253,0.0032572407315595558,0.00027602157456605456,2.937059841766935e-05,0.0001213088448729794,0.004945843305375419,0.0008326150981009012,2.161427841300315e-05
ASK:390_510,0.3712832413074039,0.07965054539102892,0.050805356709878235,0.002009877559148181,0.006527052761138186,0.007346207524552061,0.0002146589424631824,0.4793979684434101,3.968399361848904e-05,5.0949782088187984e-05,0.00011367282059516044,4.2119839774099625e-05,2.1313653861592583e-05,0.0024751241748698014,2.2227096169946548e-05,0.0
ASK:510_650,0.3371727918079904,0.07926968859780964,0.10249492790956158,0.0034752112586074013,0.006614706236480228,0.0480796086811582,0.000335511513256237,0.4158947274012468,0.00014620397953308103,0.00020712230433853139,0.0001371942104862245,9.490972620950008e-05,0.0004133231550245435,0.005576125586351674,1.7814770615375415e-05,7.013286133064461e-05
AUA:330_390,0.4118095075470674,0.08739638566221898,0.02781862245842984,0.004192136798376096,0.008342918678272178,0.0027239858835037076,0.00057229871057827,0.4559235071515789,3.355597603713364e-05,7.54239828357591e-05,2.780938686869485e-05,0.0,0.0,0.0010838477642330442,0.0,0.0
AUA:390_510,0.4356677619343726,0.09130132239824164,0.04689370041466676,0.0041512684050676076,0.007249460323860894,0.0029801042157207762,0.0004537430530180048,0.4088168675452664,1.0735245733864466e-05,0.0001245288505128278,0.00028422841085850686,5.766360565618627e-05,3.5784152446214894e-05,0.001972831444577607,0.0,0.0
AUA:510_650,0.42744865532550014,0.09290699300236452,0.06842043974736367,0.006051366185320685,0.008921302662212272,0.012582692559076163,0.00037354367606689534,0.3793533557707741,5.532831303870128e-05,5.677615674438691e-05,0.0002761244781557615,0.0,0.00010796777348112923,0.00344545434990163,0.0,0.0
AVA:330_390,0.4168427601478656,0.0931145381151035,0.018775158148555512,0.002006143713432214,0.010534898439991407,0.0006752227421527729,0.0004982818428537028,0.455648644998796,7.423382556800062e-05,2.7964797303013933e-05,3.640508157992359e-05,0.0002591065582839255,1.5965357005720678e-05,0.0014817274963716946,4.881128256526068e-06,4.0676068804383914e-06
AVA:390_510,0.4315058513542965,0.08560661529131068,0.035895611872000764,0.0024614297106932397,0.006583844923806282,0.0020087119347710924,0.0003680308807192224,0.4324269998963351,5.366904442980619e-05,0.00014549820790285862,5.305685000665251e-05,0.00016549655905921223,1.030527278975366e-05,0.002692329040626039,0.0,2.2549161252827318e-05
AVA:510_650,0.4099939098097721,0.0849010289609351,0.06479561854966721,0.003402993667302112,0.006289737609202382,0.01540364658052266,0.00035416287694401745,0.4103166307436414,0.0,8.716578278141655e-05,0.00011082506667922959,0.00010449517054867437,0.0,0.004201183192486226,0.0,3.860198951748447e-05
AVA:gt_650,0.3750628553079944,0.07925296212000138,0.09329674563739536,0.002710463893833744,0.008085982407716612,0.038386912274815665,0.000290619352221573,0.3956138399532921,6.23203136768244e-05,0.00030137143314069013,0.0,7.192411410943385e-05,0.0,0.006864003191802196,0.0,0.0
AVB:330_390,0.4476080202858493,0.08884206657486382,0.034872391799628324,0.0018717670246077046,0.008143358138109045,0.0015487380792905598,0.0002379997867620139,0.4120281777013232,9.382880673291778e-05,0.00012534382578824893,3.253823395972503e-05,2.281769236798328e-05,0.0,0.004551976145177005,2.0975905540074317e-05,0.0
AVB:390_510,0.4516723015852616,0.08665913279547398,0.04968132798467706,0.0032645054635018628,0.007908293648372616,0.0018864615261054624,0.00038464242345786115,0.3932069629156597,0.00010467724567532772,0.00015670617251986932,4.356390303253284e-05,0.0001084968295905024,0.0,0.004922927506671626,0.0,0.0
AVB:gt_650,0.3540962211420705,0.0794274319568423,0.10584916680775283,0.003629877188964333,0.007931765010223241,0.02515482103112321,0.00017221703258710463,0.4136097449658256,8.688895601826729e-05,0.00037107307444448045,5.171713909111239e-05,0.0,4.474521088365861e-05,0.009400968806656671,0.00014276844030785952,3.0593237208827054e-05
AVD:390_510,0.4168070262952345,0.08522749550182031,0.042525118471737684,0.0022462672549967517,0.007247791452791437,0.003602136134983367,0.0002501326616599078,0.4390262377563808,0.0,6.1173190951705e-05,4.998547649912808e-05,5.131979106686661e-05,4.608517237804622e-05,0.0028592308394994057,0.0,0.0
AVD:510_650,0.3894367617312013,0.09239722966253916,0.08475565139783672,0.0043275094820912395,0.01116812911848208,0.019195054443013768,0.00024306183512000766,0.3921411267665724,0.00010413933359443476,8.039010110973016e-05,7.660703752809579e-05,0.0,4.224420999491703e-05,0.0060320948809159895,0.0,0.0
AVE:330_390,0.41729367039645576,0.09473734863799817,0.020658422477952455,0.001422718453550409,0.00956682581470894,0.0010900541530176262,0.0004852841160085953,0.4528186086476202,5.71941993867273e-05,7.462772540300245e-05,5.138302404796891e-05,2.4875908467667482e-05,0.0,0.0017046114327024606,0.0,1.437501268008654e-05
AVE:390_510,0.4322006372215869,0.09119131551277593,0.034380772932064346,0.0023959572638497877,0.008561160622143783,0.0016118500065811744,0.0002871133431905841,0.4271386128522913,3.667020223411671e-05,0.0,2.263719188195473e-05,4.670841401887491e-05,3.923097054655502e-05,0.0020873334668347213,0.0,0.0
AVE:510_650,0.4057329803380168,0.08574074462781182,0.059647244373331826,0.003775947036570512,0.007859888652270174,0.01068286055888339,0.0004573158376340697,0.42069555234629735,0.0,7.679082117963588e-05,0.0001964972163067543,0.0,0.0,0.005106329828942472,0.0,2.784836275526713e-05
